Criptomoneda,Timestamp,Precio,Market Cap,Volumen de Transacción
Bitcoin,2018-01-06 00:00:00.000,18343.6624934071,307926110569.5282,4240919830.5153003
Bitcoin,2018-01-07 00:00:00.000,17039.8739138488,286074127681.1376,3044989246.796485
Bitcoin,2018-01-08 00:00:00.000,15900.3650216006,266976271422.5615,5752981089.536744
Bitcoin,2018-01-09 00:00:00.000,15604.7234082405,262044268423.30463,4214092201.8070655
Bitcoin,2018-01-10 00:00:00.000,15509.2701268168,260474112841.84482,4969472882.941215
Bitcoin,2018-01-11 00:00:00.000,14050.5696063543,236008991341.7291,5833888113.053883
Bitcoin,2018-01-12 00:00:00.000,14759.294629915,247945818276.33105,4021952802.5976954
Bitcoin,2018-01-13 00:00:00.000,15193.3148979847,255265724750.92688,3134247725.132476
Bitcoin,2018-01-14 00:00:00.000,14476.5889713691,243252295974.26068,3336056550.553205
Bitcoin,2018-01-15 00:00:00.000,14411.9977069182,242193794408.73285,3222958351.447812
Bitcoin,2018-01-16 00:00:00.000,11723.9135206658,197043955228.79236,9677283153.059654
Bitcoin,2018-01-17 00:00:00.000,11415.3928442768,191882616843.4473,10225958520.621689
Bitcoin,2018-01-18 00:00:00.000,11569.4249920858,194496634731.3023,6558304864.2233305
Bitcoin,2018-01-19 00:00:00.000,11758.4693327652,197698672432.58115,4208563477.4581575
Bitcoin,2018-01-20 00:00:00.000,13260.2711872786,222978421656.46298,4520485016.427376
Bitcoin,2018-01-21 00:00:00.000,11703.5048628599,196828374433.09152,4319501969.014785
Bitcoin,2018-01-22 00:00:00.000,10991.5950130802,184878210439.39847,5012581424.290013
Bitcoin,2018-01-23 00:00:00.000,10894.0009053405,183260375707.76193,4779406610.509539
Bitcoin,2018-01-24 00:00:00.000,11277.1159704489,189730563330.71286,3582338295.944433
Bitcoin,2018-01-25 00:00:00.000,11225.2544568853,188880475665.0269,3204496193.302373
Bitcoin,2018-01-26 00:00:00.000,11044.9072365744,185867144988.1318,4616389063.310399
Bitcoin,2018-01-27 00:00:00.000,11456.2135062799,192805209257.31415,2894314081.3753986
Bitcoin,2018-01-28 00:00:00.000,11665.6969300847,196359635508.99493,2682886340.599035
Bitcoin,2018-01-29 00:00:00.000,11157.6638878978,187828526722.43542,2345235501.178288
Bitcoin,2018-01-30 00:05:18.718,11095.2106891266,186776632503.01822,2321424679.531806
Bitcoin,2018-01-31 00:00:00.000,9989.68977659669,168188285150.7701,3804947187.2286944
Bitcoin,2018-02-01 00:00:00.000,10114.495086226,170304196700.15707,3225562144.838607
Bitcoin,2018-02-02 00:00:00.000,9070.55544937356,152744180864.1639,4769515274.345698
Bitcoin,2018-02-03 00:00:00.000,8830.16351005472,148715185541.37634,6813550017.173829
Bitcoin,2018-02-04 00:00:00.000,8994.91486607664,151507305722.97018,3422042094.7330213
Bitcoin,2018-02-05 00:00:00.000,8315.51749143615,140081544557.2351,3337096341.0061126
Bitcoin,2018-02-06 00:00:00.000,6852.05270051491,115444836533.44771,5313588642.981379
Bitcoin,2018-02-07 00:00:00.000,7711.2203289411,129936854004.41661,9152685412.95559
Bitcoin,2018-02-08 00:05:28.226,7611.61027778882,128271617562.32497,4862232217.401406
Bitcoin,2018-02-09 00:00:00.000,8208.57208449673,138345016554.78464,3190753947.378832
Bitcoin,2018-02-10 00:00:00.000,8650.71675042998,145812043727.55478,2960039948.907384
Bitcoin,2018-02-11 00:00:00.000,8574.67763849023,144544944416.7482,3371677737.5319858
Bitcoin,2018-02-12 00:00:00.000,8168.63777979963,137716289625.30893,2806997176.95887
Bitcoin,2018-02-13 00:00:00.000,8911.3985742083,150256428069.51227,3069219870.565569
Bitcoin,2018-02-14 00:00:00.000,8518.26907619091,143645913955.80325,2551515988.2160945
Bitcoin,2018-02-15 00:00:00.000,9428.02560716167,159007423075.0244,3282094240.879327
Bitcoin,2018-02-16 00:00:00.000,10112.5801434467,170569769073.98798,4332356645.963475
Bitcoin,2018-02-17 00:00:00.000,10155.2770555258,171309236631.063,3141038601.332415
Bitcoin,2018-02-18 00:00:00.000,11006.647685962,185692327611.28845,3699819140.1747103
Bitcoin,2018-02-19 00:00:00.000,10523.429305801,177561296505.31497,4740378626.743881
Bitcoin,2018-02-20 00:00:00.000,11103.0900361497,187364222442.60483,3486171704.866562
Bitcoin,2018-02-21 00:00:00.000,11502.3770496396,194121879194.2264,4225354045.1790047
Bitcoin,2018-02-22 00:00:00.000,9973.59211951887,168362084194.4766,4574800113.397884
Bitcoin,2018-02-23 00:00:00.000,10032.863112314,169362253983.19455,4626064156.354444
Bitcoin,2018-02-24 00:00:00.000,10301.883609336,173922837770.0662,4009462976.493817
Bitcoin,2018-02-25 00:00:00.000,9742.62819006538,164497574061.05917,3465387501.6656966
Bitcoin,2018-02-26 00:00:00.000,9699.51718151529,163790896885.65796,2743650277.5619
Bitcoin,2018-02-27 00:00:00.000,10355.5781264856,174886939893.19846,3646748812.403751
Bitcoin,2018-02-28 00:00:00.000,10709.3884310463,180884108725.43018,3398119467.1062694
Bitcoin,2018-03-01 00:00:00.000,10346.664931035,174778709347.89926,3182259829.3149323
Bitcoin,2018-03-02 00:00:00.000,10859.5521943893,183463718171.25656,2892166041.0523987
Bitcoin,2018-03-03 00:00:00.000,11098.0758092511,187514886761.3877,3031487197.1333075
Bitcoin,2018-03-04 00:00:00.000,11356.0416016724,191899353575.24014,3019436740.238814
Bitcoin,2018-03-05 00:00:00.000,11286.6762891691,190747933122.93732,2580256309.470718
Bitcoin,2018-03-06 00:00:00.000,11526.4209302906,194821583687.4345,2693945511.0085077
Bitcoin,2018-03-07 00:00:00.000,10727.716249205,181342656441.09247,3618749298.786025
Bitcoin,2018-03-08 00:00:00.000,9999.68248604677,169056252057.66943,4896773758.150409
Bitcoin,2018-03-09 00:00:00.000,9420.85488958591,159289105130.23843,4028135943.9580393
Bitcoin,2018-03-10 00:00:00.000,9276.33759031006,156862284242.87494,5476476288.950579
Bitcoin,2018-03-11 00:00:00.000,8890.86580399612,150359761907.83084,3260891795.801318
Bitcoin,2018-03-12 00:00:00.000,9512.45611286134,160888688653.47745,3876612721.9476624
Bitcoin,2018-03-13 00:00:00.000,9232.70587979953,156177221215.63092,4019736166.690967
Bitcoin,2018-03-14 00:00:00.000,9216.53097626842,155921695042.49033,3628990704.0064235
Bitcoin,2018-03-15 00:00:00.000,8307.22338626638,140553335048.27603,4020163253.1929836
Bitcoin,2018-03-16 00:00:00.000,8359.36528334063,141449655895.93512,4571407139.639841
Bitcoin,2018-03-17 00:00:00.000,8520.00815917187,144184737078.2775,3070872383.1616874
Bitcoin,2018-03-18 00:00:00.000,8063.4097921227,136472702736.85979,2591898944.228953
