Criptomoneda,Timestamp,Precio,Market Cap,Volumen de Transaccion
Bitcoin,2018-03-03 00:00:00.000,11098.0758092511,187514886761.388,3031487197.13331
Bitcoin,2018-03-04 00:00:00.000,11356.0416016724,191899353575.24,3019436740.23881
Bitcoin,2018-03-05 00:00:00.000,11286.6762891691,190747933122.937,2580256309.47072
Bitcoin,2018-03-06 00:00:00.000,11526.4209302906,194821583687.435,2693945511.00851
Bitcoin,2018-03-07 00:00:00.000,10727.716249205,181342656441.092,3618749298.78603
Bitcoin,2018-03-08 00:00:00.000,9999.68248604677,169056252057.669,4896773758.15041
Bitcoin,2018-03-09 00:00:00.000,9420.85488958591,159289105130.238,4028135943.95804
Bitcoin,2018-03-10 00:00:00.000,9276.33759031006,156862284242.875,5476476288.95058
Bitcoin,2018-03-11 00:00:00.000,8890.86580399612,150359761907.831,3260891795.80132
Bitcoin,2018-03-12 00:00:00.000,9512.45611286134,160888688653.477,3876612721.94766
Bitcoin,2018-03-13 00:00:00.000,9232.70587979953,156177221215.631,4019736166.69097
Bitcoin,2018-03-14 00:00:00.000,9216.53097626842,155921695042.49,3628990704.00642
Bitcoin,2018-03-15 00:00:00.000,8307.22338626638,140553335048.276,4020163253.19298
Bitcoin,2018-03-16 00:00:00.000,8359.36528334063,141449655895.935,4571407139.63984
Bitcoin,2018-03-17 00:00:00.000,8520.00815917187,144184737078.278,3070872383.16169
Bitcoin,2018-03-18 00:00:00.000,8063.4097921227,136472702736.86,2591898944.22895
Bitcoin,2018-03-19 00:00:00.000,8217.84219996114,139102798580.577,4330642347.54297
Bitcoin,2018-03-20 00:00:00.000,8640.52143024258,146274523240.434,4276409099.70447
Bitcoin,2018-03-21 00:00:00.000,8926.82049620007,151135311240.403,3554700592.27965
Bitcoin,2018-03-22 00:00:00.000,8970.31790627893,151888445786.249,3081152046.02369
Bitcoin,2018-03-23 00:00:00.000,8736.38576909829,147943048662.132,2931676659.59385
Bitcoin,2018-03-24 00:00:00.000,8824.59283177853,149451318665.614,2877067842.09843
Bitcoin,2018-03-25 00:00:00.000,8621.15079225785,146022681302.796,2444371384.26949
Bitcoin,2018-03-26 00:00:00.000,8478.63819558905,143623891714.181,2066020545.39261
Bitcoin,2018-03-27 00:00:00.000,8186.19606281355,138684803358.943,2972024162.97679
Bitcoin,2018-03-28 00:00:00.000,7836.76304425289,132779843611.386,2653185409.40399
Bitcoin,2018-03-29 00:00:00.000,7930.77954092755,134386559681.906,2033730316.75905
Bitcoin,2018-03-30 00:00:00.000,7126.89519256736,120777974799.763,3680239216.31679
Bitcoin,2018-03-31 00:00:00.000,6897.26857786945,116900853303.246,4264255594.7461
Bitcoin,2018-04-01 00:00:00.000,6975.27531402076,118234055446.543,2565052340.23238
Bitcoin,2018-04-02 00:00:00.000,6836.57232729678,115896903503.058,2649647152.16978
Bitcoin,2018-04-03 00:00:00.000,7080.41723231299,120044225923.527,2253363912.16746
Bitcoin,2018-04-04 00:00:00.000,7464.35609406668,126568883854.608,2762080502.61078
Bitcoin,2018-04-05 00:00:00.000,6845.31597826858,116084750821.373,2544238382.12146
Bitcoin,2018-04-06 00:00:00.000,6855.42230460675,116269847527.264,2568972345.7027
Bitcoin,2018-04-07 00:00:00.000,6628.75445585626,112436767361.372,1840465005.57115
Bitcoin,2018-04-08 00:00:00.000,6884.47723505995,116789559212.8,1856418405.57496
Bitcoin,2018-04-09 00:00:00.000,6984.8089659738,118505840498.729,1413593787.18783
Bitcoin,2018-04-10 00:00:00.000,6778.4915700774,115017783885.652,2437632634.28606
Bitcoin,2018-04-11 00:00:00.000,6829.31650379539,115885988821.254,1550558592.49243
Bitcoin,2018-04-12 00:00:00.000,6925.10199547663,117533696704.979,1586992258.34079
Bitcoin,2018-04-13 00:00:00.000,7836.39699399927,133015394395.993,4980342880.00081
Bitcoin,2018-04-14 00:00:00.000,7845.75284010594,133189892501.28,3910297535.1571
Bitcoin,2018-04-15 00:00:00.000,7897.71993085806,134086501771.117,2294693915.23948
Bitcoin,2018-04-16 00:00:00.000,8258.06708369755,140220533919.445,2350690710.82853
Bitcoin,2018-04-17 00:00:00.000,8030.99926195254,136379313438.764,2754142166.19396
Bitcoin,2018-04-18 00:00:00.000,7873.63551010255,133722872890.265,2491337660.02341
Bitcoin,2018-04-19 00:00:00.000,8097.41823310301,137539507140.195,2326968646.29081
Bitcoin,2018-04-20 00:00:00.000,8277.46063916253,140616565985.041,2422027692.48659
Bitcoin,2018-04-21 00:00:00.000,8499.45000871487,144401932888.962,2961030105.15034
Bitcoin,2018-04-22 00:00:00.000,8878.42826029723,150858701627.666,3214807963.45414
Bitcoin,2018-04-23 00:00:00.000,8769.01199947348,149017082314.253,2503340749.6093
Bitcoin,2018-04-24 00:00:00.000,8881.39170434545,150943914745.996,2205498227.2004
Bitcoin,2018-04-25 00:00:00.000,9716.48975733072,165155791737.985,4398198651.19984
Bitcoin,2018-04-26 00:00:00.000,8825.2025000693,150020058558.803,5523433548.35851
Bitcoin,2018-04-27 00:00:00.000,9221.86802618436,156779014055.271,3847600029.5565
Bitcoin,2018-04-28 00:00:00.000,8940.38112200719,152009053536.455,2839339948.81821
Bitcoin,2018-04-29 00:00:00.000,9249.65952508923,157282709009.46,3006508147.81209
Bitcoin,2018-04-30 00:00:00.000,9325.62885104679,158592809944.508,2827554754.47229
Bitcoin,2018-05-01 00:00:00.000,9198.18950997327,156443377473.375,2508704421.01877
Bitcoin,2018-05-02 00:00:00.000,9024.3875117766,153504488648.595,2661071473.28962
Bitcoin,2018-05-03 00:00:00.000,9122.65301383019,155192629946.187,2179558786.4918
Bitcoin,2018-05-04 00:00:00.000,9551.13518381566,162498830620.229,1228125377.94885
Bitcoin,2018-05-05 00:00:00.000,9634.53822597227,163935762593.664,2695999383.51385
Bitcoin,2018-05-06 00:00:00.000,9766.24448548887,166195961946.18,2617990803.56158
Bitcoin,2018-05-07 00:00:00.000,9583.87174550137,163109111220.656,2626417557.06692
Bitcoin,2018-05-08 00:00:00.000,9308.26502572185,158435513589.56,2767085706.19757
Bitcoin,2018-05-09 00:00:00.000,9149.51783314723,155749835750.475,2455200521.73373
Bitcoin,2018-05-10 00:00:00.000,9248.96039558449,157460887034.232,2363841215.4382
Bitcoin,2018-05-11 00:00:00.000,8969.94037574258,152728483795.656,2359598426.33025
Bitcoin,2018-05-12 00:00:00.000,8405.5605632418,143131877388.735,3726075355.3037
Bitcoin,2018-05-13 00:00:00.000,8480.58037612559,144426929746.496,2995955136.91117
Bitcoin,2018-05-14 00:00:00.000,8683.9862031429,147906738510.205,2283320839.57201
Bitcoin,2018-05-15 00:00:00.000,8696.97400387283,148142733211.519,3143239503.89129
Bitcoin,2018-05-16 00:00:00.000,8473.34864905366,144348790079.535,2586241489.84249
Bitcoin,2018-05-17 00:00:00.000,8343.1252216955,142149224754.098,2772906142.39211
Bitcoin,2018-05-18 00:00:00.000,8056.05319237475,137271416445.438,2173653717.16904
Bitcoin,2018-05-19 00:00:00.000,8202.82540955214,139787112156.341,2127912775.38632
Bitcoin,2018-05-20 00:00:00.000,8180.62700991409,139424471286.718,1672351902.73026
Bitcoin,2018-05-21 00:00:00.000,8443.26024591542,143916527618.282,1660868681.49739
Bitcoin,2018-05-22 00:00:00.000,8354.99633591748,142427831413.294,1711697912.26598
Bitcoin,2018-05-23 00:00:00.000,8009.2995067828,136550347058.652,1895031387.30946
Bitcoin,2018-05-24 00:00:00.000,7556.31604292077,128842835523.635,2777184892.73508
Bitcoin,2018-05-25 00:00:00.000,7563.43546544346,128977752305.114,2602938656.90935
Bitcoin,2018-05-26 00:00:00.000,7472.02260174872,127435061535.966,1959178260.21783
Bitcoin,2018-05-27 00:00:00.000,7328.87167436352,125008468874.287,1289488237.44715
Bitcoin,2018-05-28 00:00:00.000,7326.64394017867,124985768473.803,1247227035.27444
Bitcoin,2018-05-29 00:00:00.000,7111.06892466996,121322210033.344,1770692328.40282
Bitcoin,2018-05-30 00:00:00.000,7451.2308372653,127138205821.777,2224251684.16639
Bitcoin,2018-05-31 00:00:00.000,7380.8515577098,125953862789.74,1772428207.79457
Bitcoin,2018-06-01 00:00:00.000,7460.16694986577,127322669333.359,1714862985.08085
Bitcoin,2018-06-02 00:00:00.000,7487.07630453815,127797556817.8,1637953742.80956
Bitcoin,2018-06-03 00:00:00.000,7567.51293761927,129185013358.099,1531230053.84515
Bitcoin,2018-06-04 00:00:00.000,7639.87944568278,130436135448.668,1432775393.81614
Bitcoin,2018-06-05 00:00:00.000,7463.65499554503,127444424300.665,1643488925.3603
Bitcoin,2018-06-06 00:00:00.000,7569.01133988542,129259980382.177,1754013549.8288
Bitcoin,2018-06-07 00:00:00.000,7605.57848860797,129898428226.348,1562705992.38365
Bitcoin,2018-06-08 00:00:00.000,7613.77739337755,130052073722.891,1459894514.22681
Bitcoin,2018-06-09 00:00:00.000,7561.16610052452,129167113170.949,1362045102.42246
Bitcoin,2018-06-10 00:00:00.000,7415.00137858946,126683533782.873,1102262799.2104
Bitcoin,2018-06-11 00:00:00.000,6767.49948454925,115631864817.828,2788497500.78395
Bitcoin,2018-06-12 00:00:00.000,6880.13364875604,117568067796.626,1973448735.78642
Bitcoin,2018-06-13 00:00:00.000,6581.82807522796,112482862604.775,2060764062.98132
Bitcoin,2018-06-14 00:00:00.000,6334.09890642618,108260201574.019,2571112868.4509
Bitcoin,2018-06-15 00:00:00.000,6644.72067973844,113582443265.842,2354179149.49283
Bitcoin,2018-06-16 00:00:00.000,6406.80704950998,109527730085.074,1740752641.63413
Bitcoin,2018-06-17 00:00:00.000,6478.81592433021,110772203147.828,1306649275.50301
Bitcoin,2018-06-18 00:00:00.000,6418.85000188746,109759607021.025,1120785833.18007
Bitcoin,2018-06-19 00:00:00.000,6677.53340291194,114196505243.239,1750367371.25558
Bitcoin,2018-06-20 00:00:00.000,6708.68182027534,114742187734.307,1649449915.23939
Bitcoin,2018-06-21 00:00:00.000,6714.37546123014,114852494305.805,1626421446.36475
Bitcoin,2018-06-22 00:00:00.000,6690.832151608,114463912846.045,1400178395.52804
Bitcoin,2018-06-23 00:00:00.000,6088.57944239075,104172397755.098,2932411240.2021
Bitcoin,2018-06-24 00:00:00.000,6169.43726386169,105568325740.569,1635692582.82724
Bitcoin,2018-06-25 00:00:00.000,6159.70719379414,105415073017.075,2452039491.99807
Bitcoin,2018-06-26 00:00:00.000,6241.84871170546,106832748619.815,4326984848.15279
Bitcoin,2018-06-27 00:00:00.000,6069.87260616628,103900589095.606,3248018159.50918
Bitcoin,2018-06-28 00:00:00.000,6117.03640962264,104717160923.036,2057221707.97669
Bitcoin,2018-06-29 00:00:00.000,5879.98897440643,100670773791.783,1928320709.07945
Bitcoin,2018-06-30 00:00:00.000,6182.25674792295,105857391286.916,2341618860.20069
Bitcoin,2018-07-01 00:00:00.000,6366.49946751097,109023438456.365,2086842501.72263
Bitcoin,2018-07-02 00:00:00.000,6312.87724313135,108116702994.834,2601785821.82985
Bitcoin,2018-07-03 00:00:00.000,6595.5473128085,112969688594.564,3392521918.12093
Bitcoin,2018-07-04 00:00:00.000,6497.60735494217,111301577387.401,3013786718.6534
Bitcoin,2018-07-05 00:00:00.000,6562.7217371211,112427869579.76,3111969366.09563
Bitcoin,2018-07-06 00:00:00.000,6537.74087162192,112011029362.867,3315114737.71007
Bitcoin,2018-07-07 00:00:00.000,6603.29470396542,113147533991.984,4742128037.64001
Bitcoin,2018-07-08 00:00:00.000,6759.83608914527,115842716194.107,6047929422.83375
Bitcoin,2018-07-09 00:00:00.000,6700.63547905209,114841688927.813,5015170529.87613
Bitcoin,2018-07-10 00:00:00.000,6648.25679590332,113955190214.942,5246420831.04729
Bitcoin,2018-07-11 00:00:00.000,6303.38066472932,108055463516.657,4358427107.61466
Bitcoin,2018-07-12 00:00:00.000,6373.23480468994,109263693476.825,3969169303.74441
Bitcoin,2018-07-13 00:00:00.000,6230.59019710478,106829387990.049,3534743492.20371
Bitcoin,2018-07-14 00:00:00.000,6248.3973130338,107145717585.477,3951261052.82079
Bitcoin,2018-07-15 00:00:00.000,6246.13741162634,107117271573.723,3709146622.83599
Bitcoin,2018-07-16 00:00:00.000,6349.69583671077,108903950780.218,2857367439.53857
